category,amt,city,state,lat,long,city_pop,merch_lat,merch_long,age,transaction_hour,transaction_day_of_month,transaction_month,transaction_year,transaction_day_of_week,profession_group,fraud_category_merchant,is_fraud
food_dining,36.5,Vancouver,Washington,45.6892,-122.6616,299480,46.038863,-121.672392,35,16,29,12,2020,1,Other,3,0
food_dining,119.24,Kansas City,Missouri,38.9621,-94.5959,545147,39.701597,-95.384318,33,18,24,12,2020,3,Other,5,0
health_fitness,33.6,Superior,Arizona,33.2887,-111.0985,2872,32.454145,-111.349064,32,18,6,1,2019,6,Ingeniería y Técnicos,4,0
misc_pos,39.66,Kissee Mills,Missouri,36.6704,-93.0377,1201,36.224014,-93.452517,39,8,16,1,2019,2,Ingeniería y Técnicos,0,0
personal_care,117.19,Superior,Arizona,33.2887,-111.0985,2872,34.256076,-111.902607,33,19,29,12,2020,1,Ingeniería y Técnicos,3,0
shopping_net,7.11,Albuquerque,New Mexico,35.1506,-106.569,641349,35.480344,-107.169558,43,13,20,1,2019,6,Administradores,5,0
grocery_pos,142.37,High Rolls Mountain Park,New Mexico,32.9396,-105.8189,899,33.903869,-106.196069,53,11,26,12,2020,5,Other,5,0
grocery_pos,96.45,Helm,California,36.4992,-120.0936,123,35.582313,-120.81337,47,1,30,12,2020,2,Educación,5,0
entertainment,93.73,Napa,California,38.4549,-122.2564,94014,38.990435,-122.258623,34,20,15,1,2019,1,Other,0,0
personal_care,74.1,Meadville,Missouri,39.7795,-93.3014,964,40.129984,-94.072912,46,18,31,12,2020,3,Ejecutivos,3,0
food_dining,5.44,Sutherland,Nebraska,41.1558,-101.136,1789,40.722995,-101.822194,38,20,26,12,2020,5,Other,3,0
health_fitness,79.25,Hooper,Nebraska,41.6414,-96.5232,1745,42.374139,-96.310345,46,16,1,1,2019,1,Ingeniería y Técnicos,2,0
food_dining,98.81,Moab,Utah,38.5677,-109.5271,9772,38.701745,-110.445339,31,17,30,12,2020,2,Ejecutivos,0,0
health_fitness,90.97,Llano,New Mexico,36.1486,-105.6648,247,35.239565,-106.146986,59,12,31,12,2020,3,Ingeniería y Técnicos,2,0
food_dining,3.02,Pueblo,Colorado,38.2352,-104.66,151815,37.288846,-103.880368,32,22,26,12,2020,5,Educación,3,0
grocery_net,56.59,Centerview,Missouri,38.7897,-93.8702,2368,38.42481,-94.361855,30,11,11,1,2019,4,Ingeniería y Técnicos,0,0
health_fitness,103.05,June Lake,California,37.7773,-119.0825,633,37.022744,-118.93556,93,23,27,12,2020,6,Ejecutivos,3,0
shopping_pos,6.34,Meredith,Colorado,39.3199,-106.6596,61,40.010653,-105.883705,81,6,28,12,2020,0,Ejecutivos,4,0
shopping_pos,28.55,Portland,Oregon,45.5303,-122.7033,841711,45.334389,-123.473152,56,9,20,1,2019,6,Ingeniería y Técnicos,4,0
home,13.95,Jelm,Wyoming,41.0539,-106.0763,100,40.990526,-107.066169,46,18,27,12,2020,6,Other,2,0
misc_pos,6.98,Newhall,California,34.3795,-118.523,34882,34.426479,-117.74235,48,6,9,1,2019,2,Other,4,0
home,33.18,American Fork,Utah,40.3928,-111.7941,42384,39.943235,-111.485104,27,15,1,1,2019,1,Other,2,0
personal_care,16.72,Espanola,New Mexico,35.9866,-106.0654,18408,35.935541,-107.052071,48,23,31,12,2020,3,Ejecutivos,0,0
food_dining,2.65,Arnold,Missouri,38.4305,-90.387,35439,38.74249,-89.484464,35,23,31,12,2020,3,Other,2,0
kids_pets,31.46,Campbell,Nebraska,40.2967,-98.737,493,40.717096,-99.065348,79,12,12,1,2019,5,Other,3,0
misc_net,708.58,Hooper,Nebraska,41.6414,-96.5232,1745,41.086789,-96.052455,47,9,27,12,2020,6,Ingeniería y Técnicos,5,0
entertainment,69.28,Lonetree,Wyoming,41.0552,-110.1603,49,41.063915,-110.086888,39,20,30,12,2020,2,Ingeniería y Técnicos,2,0
home,62.25,Oakland,California,37.7878,-122.1884,381459,37.822575,-122.693797,45,17,10,1,2019,3,Other,2,0
shopping_pos,8.94,Superior,Arizona,33.2887,-111.0985,2872,33.897105,-110.168323,33,15,29,12,2020,1,Ingeniería y Técnicos,3,0
shopping_net,2.38,Paauilo,Hawaii,20.0271,-155.3697,1490,19.070393,-155.555103,29,22,28,12,2020,0,Ingeniería y Técnicos,5,0
health_fitness,273.87,Superior,Arizona,33.2887,-111.0985,2872,33.13471,-111.799428,33,14,31,12,2020,3,Ingeniería y Técnicos,2,0
shopping_net,2.65,Lakeport,California,39.047,-122.9328,11256,39.918854,-122.461342,48,19,30,12,2020,2,Other,5,0
shopping_net,7.22,Sun City,California,33.7467,-117.1721,54287,33.347027,-117.77117,48,19,28,12,2020,0,Arte,5,0
shopping_pos,5.68,San Diego,California,33.0067,-117.069,1241364,33.390459,-117.729271,61,10,25,12,2020,4,Administradores,4,0
gas_transport,68.65,Redford,Missouri,37.3272,-91.0243,241,36.63393,-91.998016,46,6,25,12,2020,4,Other,2,0
home,174.82,Conway,Washington,48.34,-122.3456,85,47.794695,-123.221814,36,17,28,12,2020,0,Ejecutivos,2,0
grocery_pos,79.36,Manville,Wyoming,42.73,-104.7024,241,42.173623,-105.54456,39,3,8,1,2019,1,Salud,5,0
home,20.53,Honokaa,Hawaii,20.0827,-155.488,4878,20.081519,-155.447662,54,22,26,12,2020,5,Salud,3,0
misc_net,185.04,Redford,Missouri,37.3272,-91.0243,241,36.518512,-91.363405,45,2,1,1,2019,1,Other,4,0
grocery_pos,76.68,Iliff,Colorado,40.7692,-103.0968,648,41.308944,-102.167765,50,8,5,1,2019,5,Other,5,0
grocery_pos,115.87,Paradise Valley,Arizona,33.5494,-111.9565,17047,32.592182,-111.444362,85,5,25,12,2020,4,Other,5,0
entertainment,112.62,Newhall,California,34.3795,-118.523,34882,33.408359,-119.404272,48,13,10,1,2019,3,Other,2,0
home,5.63,Tomales,California,38.2427,-122.9145,337,38.485878,-122.460932,65,21,18,1,2019,4,Salud,2,0
gas_transport,54.0,Cascade Locks,Oregon,45.671,-121.8686,1288,45.989271,-122.411797,84,3,27,12,2020,6,Other,4,0
home,88.27,Fiddletown,California,38.5234,-120.6763,832,37.756754,-120.703542,33,12,29,12,2020,1,Ejecutivos,0,0
personal_care,2.26,Browning,Missouri,40.029,-93.1607,602,40.165801,-93.366523,66,23,26,12,2020,5,Other,3,0
home,211.14,Independence,Missouri,39.1412,-94.3515,123373,39.049742,-95.338102,27,23,14,1,2019,0,Ingeniería y Técnicos,3,0
grocery_pos,139.34,Greenview,California,41.5403,-122.9366,308,41.637234,-122.303342,62,9,26,12,2020,5,Ejecutivos,5,0
food_dining,38.45,Pueblo,Colorado,38.2352,-104.66,151815,38.374279,-104.076583,32,12,27,12,2020,6,Educación,0,0
shopping_net,340.06,Sun City,California,33.7467,-117.1721,54287,34.454776,-117.600677,48,19,24,12,2020,3,Arte,5,0
misc_net,7.27,Rocky Mount,Missouri,38.2911,-92.7059,1847,38.693549,-93.170151,32,1,25,12,2020,4,Other,5,0
gas_transport,105.96,Hatch,Utah,37.7175,-112.4777,258,37.854119,-113.131253,58,10,9,1,2019,2,Ingeniería y Técnicos,2,0
personal_care,74.51,Laramie,Wyoming,41.4247,-105.4781,35371,40.500524,-105.742662,31,22,15,1,2019,1,Other,2,0
health_fitness,25.01,Riverton,Wyoming,43.0351,-108.2024,19408,43.947306,-107.674922,27,15,28,12,2020,0,Educación,2,0
shopping_net,9.51,Mountain Center,California,33.6401,-116.5567,1661,34.119289,-117.283442,32,22,29,12,2020,1,Salud,5,0
home,314.25,Crownpoint,New Mexico,35.7206,-108.0271,5662,34.783715,-107.166531,31,23,28,12,2020,0,Ejecutivos,0,0
gas_transport,59.21,High Rolls Mountain Park,New Mexico,32.9396,-105.8189,899,33.716204,-106.721271,53,4,31,12,2020,3,Other,4,0
health_fitness,78.36,Cascade Locks,Oregon,45.671,-121.8686,1288,46.383115,-122.458374,84,23,25,12,2020,4,Other,2,0
food_dining,10.5,Moriarty,New Mexico,34.9889,-106.0609,7268,34.224499,-105.145964,31,23,20,1,2019,6,Salud,2,0
health_fitness,8.19,Issaquah,Washington,47.4974,-122.0107,50489,47.429525,-121.485967,35,17,17,1,2019,3,Other,2,0
kids_pets,21.7,Kirtland Afb,New Mexico,35.0203,-106.5503,310,35.636423,-105.827578,41,13,9,1,2019,2,Other,3,0
grocery_pos,115.97,Westfir,Oregon,43.7575,-122.481,597,44.519129,-122.520042,58,8,5,1,2019,5,Salud,5,0
misc_net,1.79,Syracuse,Missouri,38.6547,-92.8929,628,39.484615,-92.611844,58,7,3,1,2019,3,Other,4,0
grocery_pos,95.2,Utica,Missouri,39.7417,-93.6289,271,39.865597,-92.943165,48,3,27,12,2020,6,Other,5,0
grocery_pos,141.93,Cardwell,Missouri,36.0434,-90.2907,1120,36.565947,-90.562148,63,5,26,12,2020,5,Ejecutivos,5,0
shopping_net,155.81,Rock Springs,Wyoming,41.606,-109.23,27971,42.009777,-109.851301,35,17,1,1,2019,1,Salud,4,0
shopping_pos,7.78,Jelm,Wyoming,41.0539,-106.0763,100,40.705147,-106.233864,46,18,25,12,2020,4,Other,4,0
grocery_pos,150.74,Mound City,Missouri,40.1362,-95.2138,1631,41.071334,-95.947645,66,9,20,1,2019,6,Other,5,0
shopping_pos,6.38,Honokaa,Hawaii,20.0827,-155.488,4878,20.447199,-156.29324,53,2,14,1,2019,0,Salud,4,0
food_dining,11.89,Sutherland,Nebraska,41.1558,-101.136,1789,41.513278,-102.077217,38,18,30,12,2020,2,Other,0,0
misc_net,2.13,Roseland,Nebraska,40.4591,-98.5551,463,41.163806,-98.911408,72,8,27,12,2020,6,Salud,5,0
food_dining,2.16,Tekoa,Washington,47.2271,-117.0819,895,48.079889,-117.209506,21,12,27,12,2020,6,Ingeniería y Técnicos,4,0
misc_net,2.05,Santa Monica,California,34.0287,-118.4924,92043,33.793359,-119.467655,59,1,26,12,2020,5,Ingeniería y Técnicos,5,0
misc_pos,1.94,Huslia,Alaska,65.6899,-156.292,277,66.491163,-156.147982,55,0,25,12,2020,4,Ingeniería y Técnicos,4,0
food_dining,29.2,Sun City,California,33.7467,-117.1721,54287,34.085336,-117.563666,47,13,8,1,2019,1,Arte,2,0
personal_care,69.28,Red River,New Mexico,36.6659,-105.4694,606,36.647267,-105.605834,31,21,19,1,2019,5,Other,2,0
shopping_net,337.23,Rock Springs,Wyoming,41.606,-109.23,27971,41.250259,-110.084517,36,20,26,12,2020,5,Salud,5,0
personal_care,93.28,Palmdale,California,34.5715,-118.0231,171170,33.756071,-117.286288,57,12,26,12,2020,5,Ingeniería y Técnicos,2,0
gas_transport,74.23,Rocky Mount,Missouri,38.2911,-92.7059,1847,37.408026,-92.169511,31,0,10,1,2019,3,Other,3,0
health_fitness,74.81,Jordan Valley,Oregon,42.8801,-117.281,641,43.718857,-117.508379,27,17,27,12,2020,6,Other,0,0
home,317.68,Laguna Hills,California,33.615,-117.7114,45303,32.784937,-117.576751,51,20,26,12,2020,5,Ejecutivos,2,0
health_fitness,52.03,Ruidoso,New Mexico,33.3305,-105.6933,8874,34.051814,-106.305373,20,13,31,12,2020,3,Other,0,0
shopping_pos,9.16,Conway,Washington,48.34,-122.3456,85,49.09717,-122.667602,35,15,12,1,2019,5,Ejecutivos,5,0
entertainment,37.07,Pueblo,Colorado,38.2352,-104.66,151815,38.499,-105.32515,32,19,31,12,2020,3,Educación,0,0
personal_care,124.61,Lagrange,Wyoming,41.6423,-104.1974,635,41.046254,-105.12064,46,12,6,1,2019,6,Ingeniería y Técnicos,3,0
travel,2.97,Iliff,Colorado,40.7692,-103.0968,648,41.092537,-102.106512,50,19,2,1,2019,2,Other,4,0
kids_pets,51.14,Helm,California,36.4992,-120.0936,123,36.354139,-120.66239,46,23,21,1,2019,0,Educación,3,0
gas_transport,56.27,Orient,Washington,48.8878,-118.2105,149,48.112988,-117.843299,42,7,31,12,2020,3,Educación,2,0
gas_transport,56.16,Utica,Missouri,39.7417,-93.6289,271,40.39003,-94.117548,47,8,1,1,2019,1,Other,4,0
gas_transport,68.3,Sutherland,Nebraska,41.1558,-101.136,1789,40.258827,-100.948562,37,6,7,1,2019,0,Other,2,0
shopping_net,9.31,Red River,New Mexico,36.6659,-105.4694,606,35.898987,-106.463406,31,22,16,1,2019,2,Other,5,0
home,57.1,Issaquah,Washington,47.4974,-122.0107,50489,47.237816,-122.411757,36,15,27,12,2020,6,Other,0,0
health_fitness,31.7,Littleton,Colorado,39.5994,-105.0044,320420,38.61918,-105.66289,44,16,15,1,2019,1,Ingeniería y Técnicos,0,0
home,99.77,Mendon,Utah,41.71,-111.9817,2078,41.564066,-112.260202,56,13,19,1,2019,5,Ingeniería y Técnicos,0,0
food_dining,32.95,Meredith,Colorado,39.3199,-106.6596,61,39.873763,-107.484506,80,21,21,1,2019,0,Ejecutivos,0,0
shopping_pos,135.31,Meadville,Missouri,39.7795,-93.3014,964,39.476519,-92.338316,46,3,25,12,2020,4,Ejecutivos,4,0
personal_care,7.6,Arvada,Colorado,39.8422,-105.1097,122111,40.18826,-104.148523,33,23,28,12,2020,0,Ejecutivos,4,0
travel,4.98,Ashford,Washington,46.7531,-121.9898,759,47.387862,-121.231154,63,22,6,1,2019,6,Other,0,0
shopping_net,6.48,Humboldt,Arizona,34.5189,-112.2523,1179,33.676231,-112.389594,64,7,1,1,2019,1,Ingeniería y Técnicos,5,0
grocery_pos,102.65,Fields Landing,California,40.7268,-124.2174,276,40.312873,-123.796404,90,1,8,1,2019,1,Ingeniería y Técnicos,5,0
misc_net,4.07,Vinton,California,40.0235,-120.7986,128,40.854292,-120.543313,54,6,29,12,2020,1,Administradores,5,0
shopping_pos,2.7,Conway,Washington,48.34,-122.3456,85,48.988534,-122.926744,36,13,31,12,2020,3,Ejecutivos,4,0
grocery_pos,53.46,Moriarty,New Mexico,34.9889,-106.0609,7268,34.888154,-106.590036,32,3,30,12,2020,2,Salud,4,0
shopping_net,4.62,Littleton,Colorado,39.5994,-105.0044,320420,39.440745,-104.88044,44,19,4,1,2019,4,Ingeniería y Técnicos,5,0
grocery_net,99.59,Broomfield,Colorado,39.8854,-105.1139,92337,39.714352,-105.5413,52,6,5,1,2019,5,Ingeniería y Técnicos,0,0
kids_pets,54.93,High Rolls Mountain Park,New Mexico,32.9396,-105.8189,899,33.086973,-105.628883,53,19,26,12,2020,5,Other,3,0
shopping_pos,115.91,Fiddletown,California,38.5234,-120.6763,832,38.404635,-121.151067,32,1,20,1,2019,6,Ejecutivos,3,0
health_fitness,35.85,Camden,Missouri,39.2048,-94.0259,464,38.76293,-94.558995,60,13,8,1,2019,1,Ingeniería y Técnicos,2,0
personal_care,26.46,Orient,Washington,48.8878,-118.2105,149,48.574671,-117.689483,42,14,31,12,2020,3,Educación,2,0
gas_transport,77.63,Valentine,Nebraska,42.8062,-100.6215,4005,42.976187,-101.090336,75,5,28,12,2020,0,Ingeniería y Técnicos,3,0
misc_net,46.81,Tekoa,Washington,47.2271,-117.0819,895,47.66875,-118.054776,20,22,14,1,2019,0,Ingeniería y Técnicos,0,0
home,32.09,Meredith,Colorado,39.3199,-106.6596,61,39.750004,-107.362325,81,19,26,12,2020,5,Ejecutivos,0,0
health_fitness,32.59,Meridian,Idaho,43.6498,-116.4306,84106,42.862413,-116.962999,48,15,20,1,2019,6,Other,3,0
gas_transport,65.86,Roseland,Nebraska,40.4591,-98.5551,463,41.214429,-98.663776,71,10,21,1,2019,0,Salud,4,0
kids_pets,91.39,Stayton,Oregon,44.8021,-122.7624,9587,45.587957,-123.296209,51,12,7,1,2019,0,Ingeniería y Técnicos,0,0
kids_pets,122.64,Sun City,California,33.7467,-117.1721,54287,33.571117,-116.214844,48,15,30,12,2020,2,Arte,0,0
kids_pets,2.77,Fullerton,Nebraska,41.366,-98.0054,1749,40.485627,-97.822173,47,19,26,12,2020,5,Other,2,0
kids_pets,31.28,Browning,Missouri,40.029,-93.1607,602,39.888665,-93.106804,66,16,28,12,2020,0,Other,2,0
food_dining,8.03,Nelson,Nebraska,40.201,-98.0684,732,40.444334,-98.438954,63,12,14,1,2019,0,Other,0,0
home,17.88,Orient,Washington,48.8878,-118.2105,149,48.199816,-118.355319,41,18,6,1,2019,6,Educación,2,0
entertainment,13.82,Hatch,Utah,37.7175,-112.4777,258,36.785132,-112.453981,59,22,29,12,2020,1,Ingeniería y Técnicos,4,0
shopping_pos,1.18,Cascade Locks,Oregon,45.671,-121.8686,1288,44.838106,-122.565595,84,5,29,12,2020,1,Other,0,0
misc_net,1.42,Camden,Missouri,39.2048,-94.0259,464,39.476878,-93.25593,61,3,26,12,2020,5,Ingeniería y Técnicos,5,0
health_fitness,45.29,Newhall,California,34.3795,-118.523,34882,33.524086,-119.497115,49,15,27,12,2020,6,Other,4,0
shopping_net,184.21,Syracuse,Missouri,38.6547,-92.8929,628,37.964577,-92.515933,58,7,9,1,2019,2,Other,5,0
grocery_net,58.44,Norwalk,California,33.9056,-118.0818,105549,34.720605,-118.541159,46,8,14,1,2019,0,Other,0,0
personal_care,53.39,Albuquerque,New Mexico,35.1506,-106.569,641349,35.051189,-107.08403,44,15,29,12,2020,1,Administradores,0,0
kids_pets,12.32,Carlotta,California,40.507,-123.9743,1139,40.883867,-123.013045,68,20,3,1,2019,3,Salud,2,0
home,283.02,Thompson,Utah,38.9999,-109.615,46,39.07947,-109.183117,33,22,28,12,2020,0,Other,0,0
kids_pets,101.36,Lowell,Oregon,43.921,-122.7806,1420,43.092743,-122.66033,54,23,21,1,2019,0,Other,3,0
gas_transport,71.34,Matthews,Missouri,36.7154,-89.6287,1019,37.038506,-89.388731,40,2,15,1,2019,1,Ingeniería y Técnicos,4,0
grocery_net,77.33,Kansas City,Missouri,38.9621,-94.5959,545147,38.487547,-94.212205,33,8,31,12,2020,3,Other,0,0
grocery_pos,79.67,Paradise Valley,Arizona,33.5494,-111.9565,17047,34.21535,-110.979551,84,6,21,1,2019,0,Other,5,0
grocery_pos,80.47,Spirit Lake,Idaho,47.9657,-116.868,4161,47.73753,-116.787735,63,11,28,12,2020,0,Ejecutivos,4,0
shopping_pos,41.8,Rock Springs,Wyoming,41.606,-109.23,27971,41.450778,-109.909773,36,14,30,12,2020,2,Salud,4,0
kids_pets,37.59,Arnold,Missouri,38.4305,-90.387,35439,37.917929,-89.697843,35,22,24,12,2020,3,Other,3,0
grocery_pos,59.18,San Diego,California,33.0067,-117.069,1241364,33.087851,-117.109164,60,2,17,1,2019,3,Administradores,4,0
grocery_pos,215.79,Phoenix,Arizona,33.5623,-112.0559,1312922,34.547981,-111.23014,39,7,25,12,2020,4,Other,3,0
kids_pets,2.27,Westerville,Nebraska,41.4193,-99.3844,73,41.203742,-98.620009,85,15,31,12,2020,3,Arte,0,0
grocery_pos,79.55,Oakland,California,37.7878,-122.1884,381459,37.174575,-123.114199,45,4,21,1,2019,0,Other,4,0
travel,481.58,Athena,Oregon,45.8289,-118.4971,1302,46.051133,-117.916382,43,18,6,1,2019,6,Other,3,0
personal_care,8.34,Lakeport,California,39.047,-122.9328,11256,39.010617,-123.192826,47,15,6,1,2019,6,Other,3,0
grocery_net,50.38,Meadville,Missouri,39.7795,-93.3014,964,39.035472,-94.241671,45,10,5,1,2019,5,Ejecutivos,0,0
gas_transport,49.53,Paauilo,Hawaii,20.0271,-155.3697,1490,20.213065,-155.658491,28,10,6,1,2019,6,Ingeniería y Técnicos,2,0
entertainment,7.4,Altonah,Utah,40.3207,-110.436,302,40.752102,-111.230837,30,21,24,12,2020,3,Other,2,0
home,44.99,Browning,Missouri,40.029,-93.1607,602,40.464408,-93.666733,66,21,31,12,2020,3,Other,2,0
gas_transport,45.47,Centerview,Missouri,38.7897,-93.8702,2368,39.676001,-93.932823,30,9,4,1,2019,4,Ingeniería y Técnicos,3,0
shopping_pos,9.32,Corona,California,33.8419,-117.6043,233717,34.348472,-116.972061,53,7,2,1,2019,2,Other,4,0
kids_pets,78.37,Gardiner,Oregon,43.7857,-124.1437,260,43.792638,-123.796858,63,13,21,1,2019,0,Ingeniería y Técnicos,2,0
grocery_net,64.67,Orient,Washington,48.8878,-118.2105,149,48.302293,-117.662127,41,8,5,1,2019,5,Educación,5,0
grocery_net,40.63,Conway,Washington,48.34,-122.3456,85,47.785854,-121.554668,36,1,28,12,2020,0,Ejecutivos,3,0
personal_care,121.58,Littleton,Colorado,39.5994,-105.0044,320420,39.10905,-105.659979,45,18,29,12,2020,1,Ingeniería y Técnicos,2,0
shopping_pos,150.36,Newhall,California,34.3795,-118.523,34882,35.370564,-117.647805,48,13,13,1,2019,6,Other,4,0
kids_pets,188.94,North Loup,Nebraska,41.4972,-98.7858,509,40.869843,-97.81058,39,21,7,1,2019,0,Salud,2,0
misc_pos,5.79,Red River,New Mexico,36.6659,-105.4694,606,35.720415,-105.100364,32,20,29,12,2020,1,Other,3,0
gas_transport,58.76,Carlotta,California,40.507,-123.9743,1139,39.802593,-124.512153,68,7,17,1,2019,3,Salud,4,0
shopping_net,3.88,Redford,Missouri,37.3272,-91.0243,241,36.670324,-90.092088,45,13,12,1,2019,5,Other,5,0
grocery_pos,95.95,Fiddletown,California,38.5234,-120.6763,832,38.493155,-120.413815,33,6,29,12,2020,1,Ejecutivos,5,0
entertainment,60.03,Rocky Mount,Missouri,38.2911,-92.7059,1847,37.905362,-93.426974,31,19,16,1,2019,2,Other,4,0
entertainment,25.29,Lakeport,California,39.047,-122.9328,11256,38.839916,-123.398142,47,13,16,1,2019,2,Other,2,0
